step	sparse_mean	sparse_lo	sparse_hi	dense_mean	dense_lo	dense_hi
0	0.5000	0.0250	0.9750	0.5000	0.0250	0.9750
1	0.5000	0.0250	0.9750	0.2741	0.0046	0.7966
2	0.5000	0.0250	0.9750	0.1642	0.0015	0.5778
3	0.5000	0.0250	0.9750	0.1110	0.0008	0.4269
4	0.5000	0.0250	0.9750	0.0819	0.0005	0.3302
5	0.5000	0.0250	0.9750	0.0641	0.0003	0.2660
6	0.5000	0.0250	0.9750	0.0523	0.0002	0.2213
7	0.5000	0.0250	0.9750	0.0440	0.0002	0.1887
8	0.5000	0.0250	0.9750	0.0379	0.0002	0.1641
9	0.5000	0.0250	0.9750	0.0333	0.0001	0.1450
10	0.4452	0.0160	0.9563	0.0296	0.0001	0.1297
11	0.4452	0.0160	0.9563	0.0266	0.0001	0.1172
12	0.4452	0.0160	0.9563	0.0242	0.0001	0.1068
13	0.4452	0.0160	0.9563	0.0221	0.0001	0.0981
14	0.4452	0.0160	0.9563	0.0204	0.0001	0.0907
15	0.4452	0.0160	0.9563	0.0189	0.0001	0.0842
16	0.4452	0.0160	0.9563	0.0176	0.0001	0.0787
17	0.4452	0.0160	0.9563	0.0165	0.0001	0.0737
18	0.4452	0.0160	0.9563	0.0155	0.0001	0.0694
19	0.4452	0.0160	0.9563	0.0146	0.0001	0.0655
20	0.3942	0.0103	0.9299	0.0138	0.0000	0.0621
21	0.3942	0.0103	0.9299	0.0131	0.0000	0.0589
22	0.3942	0.0103	0.9299	0.0125	0.0000	0.0561
23	0.3942	0.0103	0.9299	0.0119	0.0000	0.0535
24	0.3942	0.0103	0.9299	0.0113	0.0000	0.0512
25	0.3942	0.0103	0.9299	0.0109	0.0000	0.0490
26	0.3942	0.0103	0.9299	0.0104	0.0000	0.0470
27	0.3942	0.0103	0.9299	0.0100	0.0000	0.0452
28	0.3942	0.0103	0.9299	0.0096	0.0000	0.0435
29	0.3942	0.0103	0.9299	0.0093	0.0000	0.0419
30	0.3481	0.0068	0.8959	0.0089	0.0000	0.0405
31	0.3481	0.0068	0.8959	0.0086	0.0000	0.0391
32	0.3481	0.0068	0.8959	0.0083	0.0000	0.0378
33	0.3481	0.0068	0.8959	0.0081	0.0000	0.0366
34	0.3481	0.0068	0.8959	0.0078	0.0000	0.0355
35	0.3481	0.0068	0.8959	0.0076	0.0000	0.0344
36	0.3481	0.0068	0.8959	0.0074	0.0000	0.0334
37	0.3481	0.0068	0.8959	0.0072	0.0000	0.0325
38	0.3481	0.0068	0.8959	0.0070	0.0000	0.0316
39	0.3481	0.0068	0.8959	0.0068	0.0000	0.0308
40	0.3073	0.0046	0.8556	0.0066	0.0000	0.0300
41	0.3073	0.0046	0.8556	0.0064	0.0000	0.0292
42	0.3073	0.0046	0.8556	0.0063	0.0000	0.0285
43	0.3073	0.0046	0.8556	0.0061	0.0000	0.0278
44	0.3073	0.0046	0.8556	0.0060	0.0000	0.0271
45	0.3073	0.0046	0.8556	0.0058	0.0000	0.0265
46	0.3073	0.0046	0.8556	0.0057	0.0000	0.0259
47	0.3073	0.0046	0.8556	0.0056	0.0000	0.0253
48	0.3073	0.0046	0.8556	0.0054	0.0000	0.0248
49	0.3073	0.0046	0.8556	0.0053	0.0000	0.0243
50	0.2718	0.0032	0.8109	0.0052	0.0000	0.0238
