run_id,cell_id,query,source_file,row_index,text_id,year,genre,source,agreement_value,label,counts_as_target,counts_as_denominator,notes,snippet
2026-06-09-lots-people-are-bounded-kwic,partitive-agreement-followup,lots of people are,raw/partitive-agreement-followup/kwic/01-lots-of-people-are.json,1,5027152,2012,WEB,usatoday.com,plural_present,target_plural_agreement,yes,yes,bounded 100-row default KWIC sample; queried QN/partitive people frame controls plural finite agreement,"had to quickly make adjustments to deal with the influx of guests. # "" Lots of people are eating in, so we've added buffet meals in our ballrooms"
2026-06-09-lots-people-are-bounded-kwic,partitive-agreement-followup,lots of people are,raw/partitive-agreement-followup/kwic/01-lots-of-people-are.json,2,5032841,2012,WEB,....nathanbransford.com,plural_present,target_plural_agreement,yes,yes,bounded 100-row default KWIC sample; queried QN/partitive people frame controls plural finite agreement,people come expecting the author for 50 Shades. # I agree with Karen that lots of people are buying this book based on hype but I haven't heard much
2026-06-09-lots-people-are-bounded-kwic,partitive-agreement-followup,lots of people are,raw/partitive-agreement-followup/kwic/01-lots-of-people-are.json,3,5034259,2012,WEB,masslive.com,plural_present,target_plural_agreement,yes,yes,bounded 100-row default KWIC sample; queried QN/partitive people frame controls plural finite agreement,"believe the damage. # "" We're all fine on Mattoon Street, but lots of people are going to be displaced tonight. "" # Daniel Roy of ABC"
2026-06-09-lots-people-are-bounded-kwic,partitive-agreement-followup,lots of people are,raw/partitive-agreement-followup/kwic/01-lots-of-people-are.json,4,5035790,2012,WEB,techdirt.com,plural_present,target_plural_agreement,yes,yes,bounded 100-row default KWIC sample; queried QN/partitive people frame controls plural finite agreement,"of different ways, but it takes a shift from gatekeeper to enabler. Fortunately lots of people are waking up to this. Re: # Here's my"
2026-06-09-lots-people-are-bounded-kwic,partitive-agreement-followup,lots of people are,raw/partitive-agreement-followup/kwic/01-lots-of-people-are.json,5,5035994,2012,WEB,catholicvote.org,plural_present,target_plural_agreement,yes,yes,bounded 100-row default KWIC sample; queried QN/partitive people frame controls plural finite agreement,"forced to use bathrooms that do not correspond to their gender identity. "" # Lots of people are very sympathetic to gay rights, generally. Not wanting to discriminate"
2026-06-09-lots-people-are-bounded-kwic,partitive-agreement-followup,lots of people are,raw/partitive-agreement-followup/kwic/01-lots-of-people-are.json,6,5036901,2012,WEB,peakprosperity.com,plural_present,target_plural_agreement,yes,yes,bounded 100-row default KWIC sample; queried QN/partitive people frame controls plural finite agreement,"not holding my breath, but... debt cancellation of sorts is already happening. Lots of people are defaulting on (unsecured) credit cards, and now mortgages,"
2026-06-09-lots-people-are-bounded-kwic,partitive-agreement-followup,lots of people are,raw/partitive-agreement-followup/kwic/01-lots-of-people-are.json,7,5037280,2012,WEB,ask.metafilter.com,plural_present,target_plural_agreement,yes,yes,bounded 100-row default KWIC sample; queried QN/partitive people frame controls plural finite agreement,door? That would be fucked up whether he had a weapon or not (lots of people are assuming a gun when for all we know it was a paperweight
2026-06-09-lots-people-are-bounded-kwic,partitive-agreement-followup,lots of people are,raw/partitive-agreement-followup/kwic/01-lots-of-people-are.json,8,5037280,2012,WEB,ask.metafilter.com,plural_present,target_plural_agreement,yes,yes,bounded 100-row default KWIC sample; queried QN/partitive people frame controls plural finite agreement,". posted by Ms. Moonlight at 12:34 AM on December 2, 2011 # "" lots of people are assuming a gun when for all we know it was a paperweight"
2026-06-09-lots-people-are-bounded-kwic,partitive-agreement-followup,lots of people are,raw/partitive-agreement-followup/kwic/01-lots-of-people-are.json,10,5038555,2012,WEB,patheos.com (1),plural_present,target_plural_agreement,yes,yes,bounded 100-row default KWIC sample; queried QN/partitive people frame controls plural finite agreement,the donation page loads -- its doing so quite slowly. Hopefully that means lots of people are trying to donate right now). I wish that there were
2026-06-09-lots-people-are-bounded-kwic,partitive-agreement-followup,lots of people are,raw/partitive-agreement-followup/kwic/01-lots-of-people-are.json,11,5039934,2012,WEB,ivillage.com,plural_present,target_plural_agreement,yes,yes,bounded 100-row default KWIC sample; queried QN/partitive people frame controls plural finite agreement,"them that' Mommy and Daddy are here to protect you,' and that lots of people are working to make sure nothing like that ever happens again. """
2026-06-09-lots-people-are-bounded-kwic,partitive-agreement-followup,lots of people are,raw/partitive-agreement-followup/kwic/01-lots-of-people-are.json,12,5046312,2012,WEB,...mejerkfromboston.com,plural_present,target_plural_agreement,yes,yes,bounded 100-row default KWIC sample; queried QN/partitive people frame controls plural finite agreement,"November 14, 2012 Let's Talk About The Walking Dead # Rating: LOTS OF PEOPLE ARE DEAD (AND THE BLACK GUY DIES FIRST)! # The"
